Transaction_ID,Product_Category,Region,Ad_Spend,Customer_Footfall,Online_Engagement,Discount_Rate,Season,Temperature,Competitor_Price_Index,Supply_Chain_Score,Customer_Satisfaction,Economic_Confidence,Day_of_Week,Festival_Flag,Revenue
1,Apparel,South,57.21142420974008,168,0.2148909529910312,31.239724914236543,Monsoon,27.59672141418862,1.0716505967214707,0.6476071257162481,8.736974015283884,66.8477104376257,Mon,1,0.5150645315858918
2,Furniture,East,89.03817152243846,840,0.37697858784311444,7.731691798228346,Summer,41.64348533390988,0.9230006114100107,0.4353352662271746,9.142532752946698,44.00911687732643,Thu,1,2.0733805157795384
3,Furniture,South,135.9489291210181,850,0.36444027299501025,34.68113359934109,Summer,19.47595456846021,0.8104482123742752,0.8291902958526363,5.498759516374486,85.98904195766038,Fri,0,2.6528870892367884
4,Grocery,North,63.12238986805827,897,0.22375145459588214,3.342669002641032,Monsoon,30.69850492855305,1.0595616495098779,0.5512756693779287,5.59104565637757,37.00206379052693,Thu,1,0.7633017256066859
5,Apparel,North,65.22092116315955,628,0.6567250728990179,1.3317878997849464,Winter,24.084696753348844,0.9390462767171799,0.5825180972026046,4.714719302764106,71.96043618627193,Fri,0,2.0799549625163105
6,Electronics,West,61.78640163543691,1036,0.6969080985190537,19.90344811180652,Summer,24.568729196787523,1.0142226084846648,0.6968661820120883,8.40326016799212,53.80484107337862,Mon,0,2.91411603658608
7,Furniture,South,126.75154136389686,860,0.9797019444013777,16.5152149414104,Monsoon,20.078275831293077,1.0761789713062635,0.5325536862599075,9.207914504701325,54.79363317857678,Tue,1,7.3960128000019525
8,Grocery,South,113.99586265426238,594,0.6538617394926389,7.487427758462437,Festive,41.3296079830415,1.036243028346939,0.6462162688884922,5.786429282755055,42.40597905350018,Mon,1,3.104259813187814
9,Furniture,West,88.6632970209998,657,0.8058586776769143,6.588033998288374,Monsoon,35.230017713139745,0.8208722534346722,0.543548483763586,4.777883590477295,39.1709527642811,Wed,0,2.9274860818500072
10,Furniture,East,128.35698002272704,758,0.6038173644936482,9.943081482306635,Festive,20.37240161883122,1.1032348495131505,0.649657072462759,6.450854533849682,86.62879491463357,Sun,0,2.9618256670827363
11,Apparel,North,74.90879190590184,487,0.6317270023951855,32.8768244860149,Festive,39.5484301607201,1.0350473048506288,0.9051860178459683,8.30187708367216,73.03622716194553,Fri,0,2.3995496003477035
12,Furniture,East,135.23914886364636,238,0.2195238359120201,30.44889210517772,Winter,25.158075740527764,1.0311683981552737,0.7768698678695738,6.414471248372447,37.38607498607018,Tue,0,0.8740511869193148
13,Grocery,East,138.7613681788965,209,0.6462938236162246,4.979075227061238,Festive,24.4841556458229,1.0736716404882642,0.8370367238670919,4.735326417770945,40.95720908301519,Wed,0,2.4835602800543284
14,Grocery,West,45.895041082454014,1109,0.9598797538268731,7.00028606218368,Winter,27.29393456485184,1.0161678871714945,0.8736170469686318,9.866690926883113,83.96041522252573,Tue,1,3.1557465906001885
15,Electronics,West,36.965827917891545,1486,0.3778635913041794,24.041141248318603,Summer,33.2821634323513,0.9050532860525806,0.891898711344077,4.5053131769234405,84.59745692970452,Sun,0,1.6240364844590685
16,Furniture,West,141.39654802903738,1198,0.4438462528195129,26.599543087151915,Winter,19.947854140961706,0.9553316758120626,0.7951260805248144,9.1610496632434,54.91606281128313,Wed,1,3.3127198768662502
17,Electronics,East,126.56048046333285,1387,0.3209620590064998,15.20499454794264,Monsoon,31.722189682046356,0.8277358208773361,0.4030209773603378,6.751908935871267,53.75233387875298,Mon,0,2.483884962485031
18,Apparel,North,115.43101345261597,1075,0.42555484401922117,38.11607842249042,Monsoon,25.37503774900467,1.189444034561118,0.5799248754521033,9.2665806493923,62.09602072531129,Wed,1,3.157188454863796
19,Grocery,East,7.136992292249738,166,0.8506253554700252,14.979699210204389,Festive,40.27535357055442,0.9005369437204283,0.7326883652085667,6.166209185796084,54.457571607536124,Sat,0,0.5111282977286762
20,Apparel,North,102.57446521463882,1030,0.99318717451729,15.985290062816091,Monsoon,23.904873577324103,0.9513339904176227,0.8670438582237073,4.343482479788177,70.22318706874837,Sun,0,5.489008388429483
21,Furniture,South,133.07424555619602,1148,0.6203952421110089,30.02796431632197,Summer,41.688221372923145,0.916618650518321,0.5056184599277219,9.537411037915183,79.84322856547139,Thu,0,5.5774896057700225
22,Apparel,South,27.74442770426906,1068,0.2447541610576951,2.2357077212848564,Festive,26.01811351628933,0.9315132256451069,0.6306087723235625,4.230870055936861,49.186863021056624,Wed,1,0.5403987545916618
23,Apparel,North,11.107539546771877,1043,0.3855156793369419,16.94503509456522,Monsoon,18.065496103586323,1.0040594417811637,0.7061929376138016,7.60656295484485,50.54392871542997,Mon,1,0.505058003954221
24,Apparel,South,105.99793267362541,550,0.7282419753734961,19.62284898837227,Summer,41.58230239737714,0.8802840257192258,0.4830403758834012,4.17723956025322,44.746585864624336,Sat,1,3.2164769787625493
25,Grocery,East,138.31051032436358,848,0.20719393413783377,35.22947699353394,Festive,20.07134736049229,1.1963316352491091,0.9943515399035482,7.987461710914269,51.06408107725554,Sat,1,1.72074396795616
26,Furniture,East,130.3889772770013,207,0.9364774493086439,16.498202909785114,Summer,20.500114294435964,0.8651617926184357,0.5170137358870764,7.071056239682744,49.14698232891159,Fri,1,3.923865309233554
27,Grocery,South,61.15678831508903,471,0.5877449039943721,39.46967207523575,Winter,26.233095832181135,1.1365928476702285,0.9332455720173344,9.826723260640762,84.93252913053982,Mon,0,2.2127325021498585
28,Electronics,West,100.05970970941905,432,0.3745836466366151,29.937588871329403,Monsoon,41.28083619951162,1.107035028767894,0.6981778019592519,5.897817687246392,69.05561766490976,Thu,0,1.5096303073316133
29,Furniture,East,55.64477412267477,711,0.3937756880595193,1.479983757906509,Festive,29.54020965695184,1.1235564690553823,0.6942224187066552,8.396352944963937,42.699640961839194,Thu,1,1.029705531503017
30,Apparel,North,20.562932608524804,656,0.20485195879685858,26.15833700839833,Summer,35.53467865703248,0.9162749472887166,0.6727454359469296,6.40780354259618,81.88365429324418,Sun,0,0.3442099995928631
31,Grocery,West,94.06086130731947,951,0.4627943831377939,20.29758710393462,Festive,20.915478522340457,0.8179816147919895,0.4197456733428134,8.517068518752854,37.48137975211453,Fri,0,3.0860603081150346
32,Electronics,East,8.70176782398757,708,0.38150130121345954,10.057063162344573,Summer,21.42531236276357,1.1399115363841252,0.47066602700460497,6.776124413989339,88.54100374359498,Thu,0,0.3609085727503411
33,Apparel,North,42.819034825823216,591,0.9049331613824152,1.2620575198318962,Summer,18.618150340092175,1.0529023610074133,0.7952936292309611,6.984030167047024,46.10127775502262,Sat,0,1.956445724024573
34,Grocery,North,82.78094361388955,1221,0.3760362942960127,15.264909407208851,Monsoon,21.73304405933917,1.1683145592998982,0.9569930598753015,6.379066025949014,55.56185724257947,Tue,1,2.0494863293143224
35,Grocery,West,70.30963438085034,1149,0.6144295025295673,21.32183032122141,Summer,30.4902287271063,0.8365618191113995,0.6015542075303256,5.333293062001561,62.44553642821965,Tue,1,2.962652158396091
36,Apparel,West,98.67886754644974,1346,0.8361471123025301,37.71512637847363,Festive,21.882713448382603,0.8483771317367705,0.6525560275401243,4.678284721710135,45.60146115770763,Wed,0,5.905903925466998
37,Furniture,West,45.49896404152053,288,0.4327653720688851,35.327804907159766,Winter,30.992327420681203,0.8504157439713356,0.45627296552450447,8.326687470130707,82.00010366680064,Thu,1,1.0021283469093012
38,Furniture,North,94.02686247068551,1303,0.7250847523776716,31.501169783539446,Summer,41.95774198565555,0.8405418995900197,0.4900712945111366,8.747449826144095,89.40822777981623,Thu,0,4.769719338349882
39,Apparel,South,9.153869245630975,926,0.48006980587774484,10.344474726537065,Monsoon,19.3252572722971,1.1517009194103676,0.9173362786985503,5.676895822320937,62.54702375086141,Fri,0,0.6284502211984624
40,Apparel,South,86.25084657900713,1251,0.2803731730655109,9.576357915816871,Summer,39.7437222972789,0.9896721445873997,0.8288850181415528,6.520204151820131,67.28782164670523,Wed,0,1.4905707368785812
41,Grocery,East,14.534927322543304,1338,0.7880019483739764,14.570497812193457,Summer,21.618446012130818,0.874210961599752,0.7454012998522015,7.095361626658837,87.27958778499095,Sat,1,1.5101146578522242
42,Furniture,South,19.7917014569962,941,0.6625785626356744,8.032811655373354,Festive,19.26723606719884,1.1459018958354013,0.6010447880917444,6.177353698807083,46.08430964556119,Mon,0,1.166096034268123
43,Grocery,East,7.116867145880161,660,0.4997298312772914,37.04549715159169,Festive,39.43027195965141,1.1433879990318223,0.4677510227994311,8.729085389233564,60.3488552481227,Sun,0,0.5449280108133082
44,Apparel,North,47.944420863679,482,0.480570698249551,6.154572091567916,Monsoon,18.14766806969894,1.1173538357969248,0.9688705167168162,4.303946918529111,37.62174153980391,Tue,0,1.1032992258296572
45,Furniture,East,129.27117711167307,943,0.8887654154109679,4.882371372492722,Festive,38.970373218836215,0.8521683142454293,0.6755149017177393,6.852093804570154,76.60538260154902,Tue,0,6.234987525776713
46,Furniture,North,16.387546143908104,435,0.21280408726571684,17.156743523255635,Summer,23.9101961928792,0.9322906529420625,0.9117781081553125,9.964894578420832,78.52923818686816,Sun,0,0.2858076981549469
47,Grocery,East,56.065291363154735,420,0.2541243683293841,7.251717178476356,Festive,39.38096038483188,1.0130359206642146,0.5096501199581106,4.493287820388629,67.87587180712914,Tue,0,0.6524691623067183
48,Furniture,East,93.6208442091558,275,0.763356910735737,12.002607103930561,Summer,34.29457367866207,1.017242318372377,0.6617491161106894,9.837016417876157,39.93982123078172,Sun,1,2.9277152065491783
49,Electronics,North,63.06836908765904,317,0.23640830532389795,2.575012803209047,Monsoon,25.037475366955835,0.9684691474479645,0.5846410461137127,8.620471507160323,37.86806141205751,Sat,0,0.5849007162726028
50,Grocery,South,39.26042320799925,647,0.6297704245183549,1.3829156205208237,Festive,21.67225690341779,0.9118876923700134,0.8903595807925161,8.357327196235635,62.18001656267975,Sat,1,1.5255161353805042
51,Apparel,East,90.79156664726275,826,0.7390379524615329,36.053565000622704,Festive,34.20869610302208,1.0246064966653725,0.7308226884151203,6.801745323042942,76.38650069485873,Sun,0,4.704098000443847
52,Electronics,East,117.25969490929802,393,0.7522841526900501,4.012489786820463,Winter,31.36819685071241,0.8586531496615758,0.6647516102008192,7.094274362310461,38.96410233725638,Fri,1,3.535200803997485
53,Apparel,West,71.74811296327032,581,0.3812143081663637,11.231563806727074,Festive,21.515255413284265,1.0429335153706079,0.6447136918439942,4.354218716179556,36.45363074219308,Sat,0,1.4292883666232075
54,Furniture,East,7.569917921358594,251,0.8604208296383518,33.91872484313928,Monsoon,26.95229668003784,1.195836494041853,0.42581108235930437,9.571981555125351,62.85747178407094,Sun,1,0.7718446997337928
55,Grocery,East,117.11975795850552,60,0.7358885926979941,29.852960653768136,Monsoon,38.818189272292024,0.9113279844726278,0.9714982221947652,4.546824127183044,54.981197562337016,Sat,1,1.689206212456051
